,id,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
157,2D4Tev0Eg3gbqepUiHnDKd,https://p.scdn.co/mp3-preview/b60d920856470e6cb8d8f904a19c7a92f077e9f3?cid=5753b92e6a084808bea42ea533c53400,0.187,0.00409,9,-37.929,0,0.0407,0.966,0.175,0.192,0.0757,68.869,classical
158,7B1xrlaP8Vm1RRmgUtfwdS,https://p.scdn.co/mp3-preview/ba46eeabfcc13c2beedca45bd6021568bc2c674a?cid=5753b92e6a084808bea42ea533c53400,0.162,0.15,9,-19.025,1,0.052,0.948,0.622,0.0437,0.0938,73.655,classical
159,5yGXeYDjV5wnc9bc4FHnf8,,0.524,0.562,9,-15.226,1,0.0306,0.819,0.677,0.0633,0.633,104.111,classical
160,7LcypCVM2DeybABIv1Ydaa,https://p.scdn.co/mp3-preview/7214a290592ebc7ff263d563ee44d7aaded28d97?cid=5753b92e6a084808bea42ea533c53400,0.172,0.0362,4,-22.325,0,0.0414,0.982,0.0235,0.111,0.0366,138.045,classical
161,1SkI6tBywbP2Eu6UUgTtjo,https://p.scdn.co/mp3-preview/ec210e6105dfcd9e7aa20b3f319d4d180caea589?cid=5753b92e6a084808bea42ea533c53400,0.209,0.125,4,-15.767,1,0.0414,0.967,0.646,0.088,0.0382,84.937,classical
162,7etmTDzBL50PAa8SQP4m82,https://p.scdn.co/mp3-preview/55822b4084429432f4b77d730251151b186effce?cid=5753b92e6a084808bea42ea533c53400,0.171,0.118,4,-19.152,0,0.0476,0.958,0.821,0.0941,0.12,69.25,classical
163,04eShjKTWijeJJqGnhxpYK,https://p.scdn.co/mp3-preview/c4f67d4f9f019deac79980937556c313018250c6?cid=5753b92e6a084808bea42ea533c53400,0.151,0.0639,11,-24.404,0,0.0439,0.962,0.603,0.466,0.0797,61.577,classical
164,2xsFBctkOl4h4CUeu0T2WA,https://p.scdn.co/mp3-preview/9cdbe858776d7383275ed8e3da8d4a9dac51bf67?cid=5753b92e6a084808bea42ea533c53400,0.481,0.0691,4,-23.484,1,0.0446,0.982,0.000117,0.156,0.198,116.74,classical
165,0kZRRiv9Cdun3LWiTGbIfH,,0.156,0.189,3,-17.991,1,0.0444,0.984,0.0119,0.0751,0.0732,79.63,classical
166,2LiWNkeUOAeibGxJKxmjsD,,0.2,0.0613,0,-20.934,1,0.0396,0.808,0.782,0.224,0.119,78.126,classical
167,0CJuLeZpCdqrqoCMXWZw8k,https://p.scdn.co/mp3-preview/fac5aa242979cd98c6e82c8e227a93c004dab633?cid=5753b92e6a084808bea42ea533c53400,0.15,0.128,2,-20.46,1,0.0459,0.944,0.93,0.0703,0.113,46.771,classical
168,0e6c45OSjdtl0Jew8dngDQ,https://p.scdn.co/mp3-preview/946c3163b25208151a9dde0226bff4fdd31bd58a?cid=5753b92e6a084808bea42ea533c53400,0.141,0.185,10,-15.699,1,0.0481,0.982,0.948,0.0719,0.0379,54.869,classical
169,24cgBBhZD1cWekUqaYuqTB,,0.279,0.00461,2,-36.886,0,0.0439,0.989,0.982,0.0638,0.039,69.813,classical
170,0CuQ1E9GCSDdRqWAjMNM4u,https://p.scdn.co/mp3-preview/f330f8fc645548523e2b8e0644cb3d9415e36861?cid=5753b92e6a084808bea42ea533c53400,0.102,0.0246,7,-27.464,0,0.0452,0.993,0.73,0.168,0.0312,70.368,classical
171,3ci3OaQZEabBi1bkjdM6vh,https://p.scdn.co/mp3-preview/7302ede358eb0fd284aa2286f916947bb466359a?cid=5753b92e6a084808bea42ea533c53400,0.369,0.147,5,-18.675,0,0.0453,0.869,0.833,0.297,0.308,146.862,classical
172,6ymNgbCndFF5rq09CLDpEk,https://p.scdn.co/mp3-preview/be0e3570e5ced99cb36d8abc0b452bdf1978968a?cid=5753b92e6a084808bea42ea533c53400,0.149,0.0759,1,-22.096,1,0.0389,0.967,0.632,0.0912,0.0359,97.379,classical
173,3N7GpFlh7BkEftNaEmJjnU,,0.405,0.0182,2,-32.365,0,0.0398,0.994,0.921,0.0639,0.323,94.425,classical
174,17gz8bmRy8HDUf6AZBnD5K,,0.197,0.0911,2,-21.511,1,0.0455,0.926,0.721,0.119,0.133,120.682,classical
