,Unnamed: 0,id,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
27,27,4v4zFRDRkXyGPTRyYur26i,https://p.scdn.co/mp3-preview/a1a679802888f95444f52d491b247c3b3cc27784?cid=5753b92e6a084808bea42ea533c53400,0.629,0.648,8.0,-14.062999999999999,1.0,0.0382,0.0203,0.0356,0.299,0.691,104.014,blues
28,28,4XrQXeFcgsE5Wq30VfDMKL,https://p.scdn.co/mp3-preview/9853642462c95376ec13d909b75d2068316108de?cid=5753b92e6a084808bea42ea533c53400,0.18899999999999997,0.262,11.0,-7.64,0.0,0.0367,0.645,0.813,0.752,0.207,178.368,blues
29,29,0hnlRgTh80b1emNnM0jmwt,https://p.scdn.co/mp3-preview/8d8479ec83eb070c48cb69987e0af97063b1aff8?cid=5753b92e6a084808bea42ea533c53400,0.568,0.898,8.0,-8.833,0.0,0.0862,0.0285,0.0787,0.484,0.833,110.824,blues
30,30,0Xce26qA69PONzBHbJAbMY,https://p.scdn.co/mp3-preview/761f38fe5516ff6ea323a20a2b1994e4b9324f02?cid=5753b92e6a084808bea42ea533c53400,0.385,0.9740000000000001,9.0,-4.69,1.0,0.0458,0.0777,0.8809999999999999,0.364,0.8240000000000001,156.876,blues
31,31,3DjwjAUPT4zvIu6ZzcgLGJ,https://p.scdn.co/mp3-preview/debd52b355651f69cb0f56a9a3fddf9d82d9939d?cid=5753b92e6a084808bea42ea533c53400,0.541,0.28300000000000003,0.0,-13.659,1.0,0.0527,0.805,0.0367,0.0736,0.564,76.828,blues
32,32,5qb0gAZsgkCXV38Lm4kYf0,https://p.scdn.co/mp3-preview/d03df2daf6d614bb7e83c1a0f6fb19e9ae27dd20?cid=5753b92e6a084808bea42ea533c53400,0.616,0.8079999999999999,0.0,-4.505,1.0,0.0502,0.00124,0.00011100000000000001,0.688,0.531,119.95200000000001,blues
33,33,7a014uMHF3nlqzXCxV551C,https://p.scdn.co/mp3-preview/2fdcdc8e81561d6579a53352abd40f76a2858934?cid=5753b92e6a084808bea42ea533c53400,0.47600000000000003,0.556,10.0,-6.501,1.0,0.0274,0.125,0.0117,0.0898,0.5589999999999999,135.624,blues
35,35,26QOKAY7kr2EazSmLxZLdW,https://p.scdn.co/mp3-preview/a6df6bd7c622e2fcaccde1a03bc9f55e9eed3f90?cid=5753b92e6a084808bea42ea533c53400,0.8140000000000001,0.456,11.0,-7.0089999999999995,0.0,0.109,0.754,0.000101,0.11199999999999999,0.599,140.159,blues
36,36,1wKWmUEdhYn47Znz5CzV5p,https://p.scdn.co/mp3-preview/a12b7013339f6f43e9a35a24cb12cb6352b5805b?cid=5753b92e6a084808bea42ea533c53400,0.5379999999999999,0.654,1.0,-10.155,1.0,0.0486,0.069,0.32299999999999995,0.19699999999999998,0.53,121.00200000000001,blues
37,37,2Cg3GUkhjX96nO4p2WRlIa,https://p.scdn.co/mp3-preview/76a319173677aa416718c3b253917fc966073b45?cid=5753b92e6a084808bea42ea533c53400,0.705,0.483,1.0,-12.209000000000001,1.0,0.0542,0.15,0.0265,0.20199999999999999,0.713,122.863,blues
